name,value,treatment,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Party Affiliation,Democrat,misinformation,overall,summary,33.76127463260113,5.023436492791414,6.7207527518359695,1.8078813897473672e-11,23.91552002810576,43.6070292370965
Party Affiliation,Democrat,factcheck,overall,summary,58.04677274943231,2.734994035220944,21.223729193523837,5.76641066916163e-100,52.686282942467386,63.40726255639723
Party Affiliation,Republican,misinformation,overall,summary,33.619413332800285,5.435577407332715,6.185067530718437,6.207589011831027e-10,22.965877379248564,44.272949286352
Party Affiliation,Republican,factcheck,overall,summary,50.52492730876816,3.454077624933689,14.627617788334486,1.8722865419270907e-48,43.755059564092484,57.29479505344384
Political interest,high,misinformation,overall,summary,28.200973194353786,4.24797732556699,6.638682608926054,3.164990739574644e-11,19.87509062909971,36.52685575960786
Political interest,high,factcheck,overall,summary,44.84893382315479,3.1008257831301584,14.4635451843675,2.0591279845570591e-47,38.77142696588647,50.926440680423106
Political interest,low,misinformation,overall,summary,37.13018638544645,5.331694503171559,6.96404986507752,3.3062749297178632e-12,26.68025718266002,47.58011558823288
Political interest,low,factcheck,overall,summary,61.88732999521404,2.811280142482387,22.013932037583043,2.1180232609882237e-107,56.37732216549593,67.39733782493215
Cognitive Reflection Test,high,misinformation,overall,summary,33.30323848809216,3.6531448348238076,9.116320319585245,7.771830160682972e-20,26.143206181528978,40.463270794655344
Cognitive Reflection Test,high,factcheck,overall,summary,61.66130574117357,3.1305097647095463,19.69688976418018,2.2927949522859252e-86,55.525619349091905,67.79699213325524
Cognitive Reflection Test,low,misinformation,overall,summary,32.26501400640312,5.194827905864967,6.21098804254437,5.265248058484499e-10,22.083338405024158,42.44668960778208
Cognitive Reflection Test,low,factcheck,overall,summary,49.824153940878006,3.483501096753966,14.302896010943039,2.0989009494454116e-46,42.99661725113445,56.65169063062156
Need for Cognition,high,misinformation,overall,summary,37.74410949024181,5.322692387392049,7.0911686686322355,1.3298414313800248e-12,27.311824110167883,48.17639487031574
Need for Cognition,high,factcheck,overall,summary,66.07823755298412,3.3426190983057427,19.768401845868972,5.571299987325188e-87,59.526824506269115,72.62965059969912
Need for Cognition,low,misinformation,overall,summary,32.25428373464904,4.982289057708775,6.473788124505555,9.557589875869488e-11,22.489176620971843,42.01939084832624
Need for Cognition,low,factcheck,overall,summary,49.012544850701985,2.927308153763986,16.74321331277705,6.346760935589151e-63,43.275126297674134,54.749963403729836
Personality - Extraversion,high,misinformation,overall,summary,31.081358058950535,4.7475540833326715,6.546814952159987,5.877711804431934e-11,21.77632304096243,40.38639307693864
Personality - Extraversion,high,factcheck,overall,summary,48.17225567787487,2.7675286128072236,17.40623582171809,7.399185517477804e-68,42.74799927058862,53.59651208516112
Personality - Extraversion,low,misinformation,overall,summary,36.99869074989388,5.468918158354269,6.765266855086326,1.3306371053091487e-11,26.2798081251224,47.71757337466536
Personality - Extraversion,low,factcheck,overall,summary,63.128621818217695,3.169611116685332,19.916835060900276,2.9080036769626423e-88,56.91629818451666,69.34094545191873
Personality - Agreeableness,high,misinformation,overall,summary,41.79169748338713,6.191460087607666,6.749893707145762,1.4795350552435794e-11,29.656658699958903,53.92673626681536
Personality - Agreeableness,high,factcheck,overall,summary,70.34555674420399,3.2954551133454992,21.346234230084892,4.2265543953760774e-101,63.88658340937845,76.80453007902953
Personality - Agreeableness,low,misinformation,overall,summary,27.114255599730626,3.9858297293660767,6.802662793135168,1.02702854822098e-11,19.302172881664088,34.92633831779716
Personality - Agreeableness,low,factcheck,overall,summary,37.949563856241646,1.6883655061222478,22.477102095862097,6.953276638385482e-112,34.6404282715023,41.25869944098099
Personality - Conscientiousness,high,misinformation,overall,summary,41.3767000724374,6.073495323582946,6.812666820006372,9.580585646866019e-12,29.472867977942393,53.28053216693241
Personality - Conscientiousness,high,factcheck,overall,summary,69.22152270657001,2.9716819184594416,23.293718710801777,5.133233664962139e-120,63.397133172880615,75.04591224025941
Personality - Conscientiousness,low,misinformation,overall,summary,28.798934081475963,4.527632459091309,6.360704925075981,2.008299220741511e-10,19.924937526422482,37.67293063652944
Personality - Conscientiousness,low,factcheck,overall,summary,41.70807810685588,2.2850385350400275,18.252680410978396,1.9700188953932565e-74,37.22948487489126,46.186671338820496
Personality - Emotional Stability,high,misinformation,overall,summary,41.896258180732104,6.340959646934201,6.607242517461624,3.9154434874281985e-11,29.46820564531926,54.32431071614495
Personality - Emotional Stability,high,factcheck,overall,summary,68.56082507999216,2.9588770252136225,23.17123168545413,8.882476274157348e-119,62.76153267589044,74.36011748409386
Personality - Emotional Stability,low,misinformation,overall,summary,28.90366916801307,4.347364922793422,6.648549105337324,2.959962315281507e-11,20.382990491685213,37.42434784434093
Personality - Emotional Stability,low,factcheck,overall,summary,42.83971779302482,2.4200893480480423,17.701709165233012,4.0677256242475016e-70,38.096429831481636,47.583005754568
Personality - Openness,high,misinformation,overall,summary,40.84033143768143,6.151691097831416,6.638878771412692,3.1607821470966174e-11,28.78323844191619,52.897424433446666
Personality - Openness,high,factcheck,overall,summary,65.10375155283613,2.926497701334619,22.24630196126441,1.2248544313320838e-109,59.36792145738102,70.83958164829124
Personality - Openness,low,misinformation,overall,summary,29.59499035156296,4.442963842818458,6.661091874380177,2.7180065674456513e-11,20.886941235025105,38.30303946810081
Personality - Openness,low,factcheck,overall,summary,44.65288951002465,3.1015948881212974,14.396751065408115,5.423367785828404e-47,38.57387523467337,50.73190378537593
