week_index,page_views,dat_vec,fn,rd,rd2,topic_short,congeniality,panel,cume_views
1,142784,2020-09-30,gs_pfact_traffic/Biden-wire - content-pages.csv,2020-10-03,2020-09-23,Biden wears wire at debate,False claim congenial to Republicans,"Panel 2
(MTurk)",0
1,20776,2020-09-10,gs_pfact_traffic/antifa-wildfires - content-pages.csv,2020-09-12,2020-09-03,Antifa start West Coast wildfires,False claim congenial to Republicans,"Panel 1
(Lucid)",0
1,964,2020-10-19,gs_pfact_traffic/childs-presence-school-doesnt-automatically-enroll_ - content-pages.csv,2020-10-17,2020-10-12,WHO: children to be vaccinated without parents' consent,False claim congenial to Republicans,"Panel 4
(MTurk)",0
1,23892,2020-11-05,gs_pfact_traffic/claim-postal-service-failed-deliver-27-mail-ballot - content-pages.csv,2020-11-07,2020-10-29,USPS fails to deliver 27% of mail ballots in South FL,False claim congenial to Democrats,"Panel 7
(Lucid)",0
1,59351,2020-10-28,gs_pfact_traffic/donald-trump-wrong-winner-has-be-announced-electio - content-pages.csv,2020-10-31,2020-10-21,Presidential winner must be announced election night,False claim congenial to Republicans,"Panel 6
(MTurk)",0
1,11282,2020-10-02,gs_pfact_traffic/fact-check-why-barack-obama-failed-fill-over-100-j_ - content-pages.csv,2020-10-03,2020-09-25,Obama failed to nominate US judges,False claim congenial to Republicans,"Panel 3
(Lucid)",0
1,3929,2020-09-10,gs_pfact_traffic/fact-checking-joe-bidens-claim-about-his-own-incom_ - content-pages.csv,2020-09-12,2020-09-03,Joe Biden has never made more than $400k,False claim congenial to Democrats,"Panel 5
(Lucid)",0
1,220767,2020-10-20,gs_pfact_traffic/fact-checking-unproven-claims-about-hunter-biden-a_ - content-pages.csv,2020-10-17,2020-10-13,Hunter Biden's laptop had photos torturing children,False claim congenial to Republicans,"Panel 4
(MTurk)",0
1,4475,2020-09-18,gs_pfact_traffic/joe-biden-wrongly-claims-trump-couldve-prevented-e - content-pages.csv,2020-09-19,2020-09-11,Trump responsible for all Covid deaths,False claim congenial to Democrats,"Panel 2
(MTurk)",0
1,37911,2020-10-26,gs_pfact_traffic/no-evidence-hunter-biden-had-photos-coons-daughter - content-pages.csv,2020-10-24,2020-10-19,Sen Coon's daughter's photo on Hunter Biden's laptop,False claim congenial to Republicans,"Panel 6
(MTurk)",0
1,24164,2020-10-13,gs_pfact_traffic/no-trump-didnt-say-he-nominated-amy-coney-barrett-_ - content-pages.csv,2020-10-10,2020-10-06,Judge Barrett made homophobic and racist statements,False claim congenial to Democrats,"Panel 3
(Lucid)",0
1,382048,2020-11-04,gs_pfact_traffic/no-wisconsin-doesnt-have-more-ballots-cast-registe_ - content-pages.csv,2020-11-07,2020-10-28,Wisconsin has more votes than registered voters,False claim congenial to Republicans,"Panel 7
(Lucid)",0
1,14261,2020-10-13,gs_pfact_traffic/social-media-posts-push-false-claims-about-kamala- - content-pages.csv,2020-10-10,2020-10-06,Kamala Harris imprisoned prolife activists,False claim congenial to Republicans,"Panel 5
(Lucid)",0
1,10553,2020-10-23,gs_pfact_traffic/trump-did-not-say-good-when-talking-about-family-s - content-pages.csv,2020-10-24,2020-10-16,Trump said 'Good' to children's separation,False claim congenial to Democrats,"Panel 6
(MTurk)",0
