fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,Panel 1 (Lucid),control,-0.08239673623759308,0.11827642858318407,-0.6966454535752512,0.486094554390196,-0.31433538426478225,0.1495419117895961,2318,lucid_pid_7n,FALSE
1,Panel 1 (Lucid),factcheck,0.01427572250864609,0.11906714572485665,0.1198964031743466,0.9045756040290476,-0.21921351228387204,0.2477649573011642,2318,lucid_pid_7n,FALSE
1,Panel 1 (Lucid),control,-0.6913557572449115,0.8553151141856346,-0.8083053202013943,0.4189977863923501,-2.3686183665222575,0.9859068520324348,2318,lucid_age,FALSE
1,Panel 1 (Lucid),factcheck,-0.3552718910910169,0.8527301223970292,-0.4166287571645126,0.6769885470138,-2.0274653626898536,1.3169215805078198,2318,lucid_age,FALSE
1,Panel 1 (Lucid),control,-0.4189713842590508,0.3605324406480874,-1.1620906665317396,0.24531827395738515,-1.1259711462196438,0.2880283777015422,2318,lucid_hhin,FALSE
1,Panel 1 (Lucid),factcheck,-0.0921779686184046,0.35496367067927675,-0.259682824560632,0.7951315035425396,-0.7882574399241951,0.603901502687386,2318,lucid_hhin,FALSE
1,Panel 1 (Lucid),control,-0.09363203355169938,0.0448267589967691,-2.0887531386877187,0.036838792481415,-0.18153676657159265,-0.00572730053180615,2318,political_knowledge_pre,TRUE
1,Panel 1 (Lucid),factcheck,-0.10479499372553996,0.04509844661219821,-2.323694086997556,0.0202279726154254,-0.19323250287811833,-0.01635748457296157,2318,political_knowledge_pre,TRUE
1,Panel 1 (Lucid),control,-0.08336777017616732,0.05965022490208462,-1.397610324403887,0.16236385599111897,-0.20034114081338572,0.03360560046105106,2318,political_interest_pre,FALSE
1,Panel 1 (Lucid),factcheck,0.03773970702069457,0.05835245382995011,0.6467544129450852,0.5178549341701485,-0.07668875021724933,0.15216816425863847,2318,political_interest_pre,FALSE
1,Panel 1 (Lucid),control,-0.01369230925640718,0.04317140472511634,-0.3171615411541438,0.7511495933350839,-0.098350912541303,0.07096629402848861,2318,cognitive_reflection_pre,FALSE
1,Panel 1 (Lucid),factcheck,0.0018765086147334,0.0436043401639889,0.04303490449978497,0.9656774163618324,-0.08363107583723017,0.08738409306669698,2318,cognitive_reflection_pre,FALSE
1,Panel 1 (Lucid),control,-0.04679560268517704,0.2270452720471152,-0.2061069242413745,0.8367254901225589,-0.4920286391438064,0.3984374337734524,2318,need_for_cognition_pre,FALSE
1,Panel 1 (Lucid),factcheck,-0.05456775566549624,0.22748528099280563,-0.23987378623947975,0.8104493125208578,-0.5006636443526364,0.391528133021644,2318,need_for_cognition_pre,FALSE
1,Panel 1 (MTurk),control,-4.697060740183521e-4,0.13805485314926894,-0.00340231482851596,0.997285680194948,-0.2712113203097182,0.27027190816168145,2060,lucid_pid_7n,FALSE
1,Panel 1 (MTurk),factcheck,0.04824237128646277,0.138494934907367,0.34833310921247707,0.7276256245704351,-0.22336229443105873,0.31984703700398426,2060,lucid_pid_7n,FALSE
1,Panel 1 (MTurk),control,0.05994784504323022,0.7197084764321309,0.08329462137282935,0.9336253697695708,-1.3514841346617372,1.4713798247481975,2060,lucid_age,FALSE
1,Panel 1 (MTurk),factcheck,-0.9568189084528362,0.7359831302230837,-1.3000554892648355,0.1937273919182106,-2.4001673759738864,0.48652955906821393,2060,lucid_age,FALSE
1,Panel 1 (MTurk),control,0.41665256137915746,0.3048468217178684,1.3667603914360755,0.17184956303614324,-0.1811874907722822,1.0144926135305972,2060,lucid_hhin,FALSE
1,Panel 1 (MTurk),factcheck,-0.04985549132947917,0.30622969640879155,-0.16280423457993495,0.8706885422917753,-0.650407521492307,0.5506965388333486,2060,lucid_hhin,FALSE
1,Panel 1 (MTurk),control,-0.05448739905860456,0.04961878810856862,-1.098120311592116,0.27228028936770526,-0.1517956101245924,0.04282081200738325,2060,political_knowledge_pre,FALSE
1,Panel 1 (MTurk),factcheck,-0.02935889953737466,0.04811039167628089,-0.6102402935091676,0.5417699536464295,-0.1237089698667714,0.06499117079202207,2060,political_knowledge_pre,FALSE
1,Panel 1 (MTurk),control,0.02486903240548765,0.04845320860517128,0.5132587319064242,0.6078253855464186,-0.0701533417697924,0.11989140658076772,2060,political_interest_pre,FALSE
1,Panel 1 (MTurk),factcheck,0.05167025137787372,0.04872705726256761,1.0604016388563462,0.289086226316536,-0.04388917184616087,0.1472296746019083,2060,political_interest_pre,FALSE
