fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,panel_1_lucid,Panel 1 (Lucid),mostly false,control,0.01021031132606434,0.01719534551424669,0.5937834350350734,0.5527149078228776,-0.02350955355918466,0.04393017621131335,2318,Responded Wave 1,FALSE
1,panel_1_lucid,Panel 1 (Lucid),mostly false,factcheck,0.02737167347428921,0.01650000367702226,1.65888893178895,0.09727346089360488,-0.00498463446580609,0.05972798141438451,2318,Responded Wave 1,FALSE
1,panel_1_lucid,Panel 1 (Lucid),mostly false,control,-0.01213707393972761,0.01953492463105163,-0.6213012933991665,0.5344624945437066,-0.05044482521793399,0.02617067733847875,2318,Responded Wave 2,FALSE
1,panel_1_lucid,Panel 1 (Lucid),mostly false,factcheck,0.01431304678029494,0.01985260798523604,0.7209655673924172,0.4710034038509985,-0.02461767771880517,0.05324377127939504,2318,Responded Wave 2,FALSE
1,panel_1_mturk,Panel 1 (MTurk),mostly false,control,-0.00457431457431458,0.0086256228543218,-0.5303170161239616,0.5959485689894557,-0.02149003496095562,0.01234140581232644,2087,Responded Wave 1,FALSE
1,panel_1_mturk,Panel 1 (MTurk),mostly false,factcheck,-0.00297397007583518,0.0084851808883636,-0.3504898852437691,0.7260064508537604,-0.01961426953730689,0.01366632938563652,2087,Responded Wave 1,FALSE
1,panel_1_mturk,Panel 1 (MTurk),mostly false,control,0.00492063492063448,0.02680667742625256,0.18356004522274605,0.8543764410956018,-0.04764997563071494,0.05749124547198391,2087,Responded Wave 2,FALSE
1,panel_1_mturk,Panel 1 (MTurk),mostly false,factcheck,0.01644394343103056,0.02676927753207502,0.6142841700276515,0.5390945180017681,-0.03605332213838747,0.06894120900044859,2087,Responded Wave 2,FALSE
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.02605531295487699,0.00756959672376221,3.442100537943463,5.887619685090962e-4,0.01121043692646941,0.04090018898328457,2056,Responded Wave 1,TRUE
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.0084066471163245,0.00908060135254588,0.9257808805765456,0.35466851607338135,-0.00940148801441148,0.02621478224706049,2056,Responded Wave 1,FALSE
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.04597177393835777,0.02680110024514586,1.7152942796325696,0.08644195990166872,-0.00658835906254164,0.09853190693925716,2056,Responded Wave 2,FALSE
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,-0.02606995622423363,0.02699718950795162,-0.9656544514218828,0.33433068683094114,-0.07901464350233985,0.02687473105387257,2056,Responded Wave 2,FALSE
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,control,-0.01935075935624607,0.01758261262989912,-1.1005622294914368,0.27119820364237907,-0.05382952969884867,0.01512801098635653,2387,Responded Wave 1,FALSE
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,factcheck,-0.01824941421820492,0.01702995779375179,-1.0716065441395597,0.28400512551118734,-0.0516444514674759,0.01514562303106606,2387,Responded Wave 1,FALSE
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,control,-0.0221918475935969,0.02409925232307774,-0.92085212006124,0.3572206932246673,-0.06944947669377216,0.02506578150657835,2387,Responded Wave 2,FALSE
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,factcheck,-7.805371914607605e-4,0.02360788011863779,-0.03306257010533306,0.9736274554073112,-0.04707460588419043,0.04551353150126891,2387,Responded Wave 2,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,-0.00593038810738652,0.00758701396433518,-0.7816498210315577,0.4344921491909805,-0.02080764429872757,0.00894686808395451,2579,Responded Wave 1,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-0.00508197720959621,0.00737101753950086,-0.6894539569824909,0.4905996648104266,-0.01953568941330528,0.00937173499411285,2579,Responded Wave 1,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,0.02037165813483921,0.02365664869443485,0.8611388027938031,0.3892416527993764,-0.02601629171078892,0.06675960798046734,2579,Responded Wave 2,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-0.00261169775923328,0.02335431871816814,-0.1118293276181743,0.910967435816046,-0.04840681351593193,0.04318341799746536,2579,Responded Wave 2,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,0.03580854076426222,0.02430873925482129,1.473072724541241,0.14085345851085773,-0.01185808319115771,0.08347516471968217,2579,Responded Wave 3,FALSE
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-5.682680668374407e-4,0.02385439553643241,-0.02382236288358405,0.9809961450672912,-0.0473439765805339,0.04620744044685902,2579,Responded Wave 3,FALSE
1,panel_5_lucid,Panel 5 (Lucid),false,control,0.01140409434801899,0.01796727768446832,0.6347146489463554,0.525680626697251,-0.02383053398724197,0.04663872268327997,2197,Responded Wave 1,FALSE
1,panel_5_lucid,Panel 5 (Lucid),false,factcheck,-0.00558561036738187,0.01825241521919385,-0.3060203430781128,0.759618151329317,-0.04137940605325219,0.03020818531848844,2197,Responded Wave 1,FALSE
1,panel_5_lucid,Panel 5 (Lucid),false,control,-0.01552069425901238,0.02333426167165044,-0.6651461476438737,0.5060268363804166,-0.06128021620312141,0.03023882768509664,2197,Responded Wave 2,FALSE
1,panel_5_lucid,Panel 5 (Lucid),false,factcheck,0.02610948101962196,0.02364400382924592,1.10427494464057,0.2695948144055867,-0.02025745903168717,0.07247642107093111,2197,Responded Wave 2,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,-0.01911611039400102,0.03042848113278516,-0.6282308443389364,0.5299426125969762,-0.07880009970721528,0.04056787891921323,1596,Responded Wave 1,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.00975674953221074,0.03106047662005687,0.3141210500907272,0.7534701558586081,-0.05116686826405924,0.07068036732848074,1596,Responded Wave 1,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,0.03248509435122045,0.02845658208225424,1.1415669758694746,0.25380530417654423,-0.02333111065343629,0.0883012993558772,1596,Responded Wave 2,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.04450681635926189,0.02887280613279216,1.5414787241172747,0.1233985537590006,-0.01212579192480278,0.10113942464332656,1596,Responded Wave 2,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,0.02028397565922931,0.03033808137451216,0.6685978394227139,0.5038487381421493,-0.03922269891444412,0.07979065023290273,1596,Responded Wave 3,FALSE
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.02358994921144045,0.03095774532449933,0.7620047572641491,0.4461697546552182,-0.03713216613324699,0.0843120645561279,1596,Responded Wave 3,FALSE
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,0.00398484292873727,0.01568189313536949,0.25410471135973495,0.7994365681725314,-0.02676670880901644,0.03473639466649099,2385,Responded Wave 1,FALSE
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,-0.00172302944580172,0.01606110709014224,-0.10727961877916024,0.9145761761937244,-0.03321820425566851,0.02977214536406506,2385,Responded Wave 1,FALSE
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,0.03529519618628481,0.02069338415613077,1.7056270699844909,0.08820774382290669,-0.00528368469329559,0.07587407706586523,2385,Responded Wave 2,FALSE
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,0.02442458531567393,0.0207962746032831,1.1744692634428875,0.2403243681659546,-0.01635605952707169,0.06520523015841957,2385,Responded Wave 2,FALSE
2,panel_1_lucid,Panel 1 (Lucid),false,control,0.03346438850704913,0.01706548728535067,1.960939523583108,0.05000565004471241,-8.259596326123941e-7,0.06692960297373088,2318,Responded Wave 1,FALSE
2,panel_1_lucid,Panel 1 (Lucid),false,factcheck,0.03023074187571256,0.01713979175964889,1.7637753305079729,0.07790152608784968,-0.00338018276769285,0.06384166651911799,2318,Responded Wave 1,FALSE
2,panel_1_lucid,Panel 1 (Lucid),false,control,-0.00253445542556398,0.01968459240984907,-0.1287532590360311,0.8975640611818663,-0.04113570341045436,0.03606679255932638,2318,Responded Wave 2,FALSE
2,panel_1_lucid,Panel 1 (Lucid),false,factcheck,0.00920177025180707,0.01989709065074707,0.4624681272918448,0.6437890599887361,-0.029816184217143,0.04821972472075715,2318,Responded Wave 2,FALSE
2,panel_1_mturk,Panel 1 (MTurk),false,control,0.00658436213991766,0.00840640215571133,0.7832556684721815,0.4335658628079503,-0.00990144424476803,0.02307016852460336,2087,Responded Wave 1,FALSE
2,panel_1_mturk,Panel 1 (MTurk),false,factcheck,-0.00180566053581929,0.00904162528663714,-0.19970530502828185,0.8417305201260621,-0.01953720384262002,0.01592588277098142,2087,Responded Wave 1,FALSE
2,panel_1_mturk,Panel 1 (MTurk),false,control,-0.00598079561042522,0.02672564100671691,-0.223784926577517,0.8229465626621083,-0.05839248553225595,0.04643089431140551,2087,Responded Wave 2,FALSE
2,panel_1_mturk,Panel 1 (MTurk),false,factcheck,-0.01243366247145521,0.02661048999266819,-0.467246656295355,0.6403721948830696,-0.06461952958735255,0.03975220464444211,2087,Responded Wave 2,FALSE
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.01825210319507418,0.00824827331926111,2.2128392802469854,0.02701821216397928,0.0020762619526366,0.03442794443751176,2056,Responded Wave 1,TRUE
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.01011513911370374,0.00886204720278223,1.1413998235676397,0.25383649961148114,-0.00726438543483958,0.02749466366224706,2056,Responded Wave 1,FALSE
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.00641307324404676,0.02699271826709421,0.2375853065478289,0.8122264201567657,-0.04652284540098115,0.05934899188907467,2056,Responded Wave 2,FALSE
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.02722210345213772,0.02666077417762542,1.0210545001721438,0.30734874465302287,-0.02506283350438647,0.07950704040866192,2056,Responded Wave 2,FALSE
2,panel_3_lucid,Panel 3 (Lucid),mostly false,control,0.01735268964402829,0.01691842610222671,1.0256680816039043,0.3051519909594909,-0.01582363860795316,0.05052901789600975,2387,Responded Wave 1,FALSE
2,panel_3_lucid,Panel 3 (Lucid),mostly false,factcheck,0.00354809623993689,0.01745329598322714,0.20329089951529264,0.8389249956297861,-0.03067708954979349,0.03777328202966727,2387,Responded Wave 1,FALSE
2,panel_3_lucid,Panel 3 (Lucid),mostly false,control,-0.00928230934221955,0.02355432389338219,-0.39408090778727495,0.6935565075490051,-0.05547135650999882,0.03690673782555971,2387,Responded Wave 2,FALSE
2,panel_3_lucid,Panel 3 (Lucid),mostly false,factcheck,-0.01742885616210828,0.02370162673608155,-0.7353443017299701,0.4622020761823217,-0.06390675806331933,0.02904904573910276,2387,Responded Wave 2,FALSE
2,panel_4_mturk,Panel 4 (MTurk),false,control,-0.0083672795331939,0.00790991180022259,-1.0578221027645902,0.2902356238368743,-0.02387770100546209,0.00714314193907428,2579,Responded Wave 1,FALSE
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,-0.00485172998712469,0.00774811351466218,-0.6261820994160058,0.5312509220149364,-0.02004488374947207,0.01034142377522268,2579,Responded Wave 1,FALSE
