fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),mostly false,treatmentcontrol,9.52120550692633,1.8331541813751968,-5.19389236522577,2.2668173302786056e-7,5.926132017848327,13.116278996004333,2017,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),mostly false,treatmentfactcheck,-4.488525061956734,1.855772724673694,-2.4186825263023333,0.015664843810234697,-8.127956699520093,-0.8490934243933759,2017,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,treatmentcontrol,4.944750163292342,1.6283406629989445,-3.0366803922868977,0.002422651721194874,1.7513429218472454,8.13815740473744,2015,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,treatmentfactcheck,-4.0356072305111415,1.6259503891390148,-2.4819989942301413,0.013145701193262442,-7.224326805531893,-0.8468876554903897,2015,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentcontrol,1.6077088353381195,1.7232918773309462,-0.9329289231190232,0.35096955962562126,-1.771931582558987,4.987349253235226,1995,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentfactcheck,-7.0979221924556155,1.719349661235516,-4.1282598603911,3.805728950216004e-5,-10.46983131826723,-3.7260130666440006,1995,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,treatmentcontrol,-1.8127371746022705,1.9209914537989676,0.9436466627779042,0.34546225458609814,-5.580051915963039,1.9545775667584981,2035,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,treatmentfactcheck,-8.369780751632964,1.7957077536828585,-4.660992711351381,3.3508142813892533e-6,-11.891397819864453,-4.848163683401475,2035,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,treatmentcontrol,9.490381912893438,1.5835522959710697,-5.993096620199539,2.3565107299648828e-9,6.385170673160042,12.595593152626835,2496,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,treatmentfactcheck,-20.835068481530158,1.524544932174783,-13.666418117181147,4.661458817594667e-41,-23.82457130433697,-17.845565658723345,2496,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),false,treatmentcontrol,14.226705556199239,1.8206266036957168,-7.8141808580190135,9.124752081027713e-15,10.656047842698563,17.797363269699915,1883,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),false,treatmentfactcheck,-14.24867137923886,1.9406578106624253,-7.342186397289283,3.111740578506785e-13,-18.054737250648728,-10.442605507828995,1883,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,treatmentcontrol,-1.8429549493417479,2.766153580323842,0.6662518532777878,0.5054461297239801,-7.272899042188755,3.586989143505259,784,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,treatmentfactcheck,-4.708116824233369,2.7130936593155726,-1.7353314759583631,0.08307505279230877,-10.033904587260087,0.6176709387933492,784,outcome_w1
