fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,3.3633633513883923,4.150323220856794,0.8103858837996859,0.4184401316964327,-4.808160817643657,11.53488752042044,267,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,1.3372849766909103,2.2235162416712826,0.6014280227095414,0.547757163672201,-3.0285666981519532,5.703136651533773,674,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-6.352880431025279,2.2950721289393727,-2.7680526249783495,0.005784561288943679,-10.858734642923842,-1.8470262191267164,718,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-8.161036652564961,2.977266430071069,-2.7411173451380204,0.006368525010761553,-14.012214404238863,-2.3098589008910597,447,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-8.960609189708457,1.863104048379967,-4.809505511782884,1.7373169628168805e-6,-12.616501263947395,-5.3047171154695185,1035,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,3.899112601530486,3.545498847512146,1.099735966425844,0.27224636991782986,-3.0754395643655204,10.873664767426492,331,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-8.504106108987582,3.46208887653929,-2.4563511834185783,0.014501881801243814,-15.312312778113798,-1.6958994398613658,364,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-3.485730379135178,3.815122719182357,-0.9136614037627149,0.36155385514900906,-10.990427617588702,4.018966859318347,334,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-2.186162377645154,3.3806239476021127,-0.6466742268674415,0.5183841291755593,-8.841460262380524,4.469135507090215,274,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-1.167071444916637,2.2158588784118263,-0.5266903304569255,0.5985886111923054,-5.518189476694492,3.1840465868612187,649,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-19.46148052573801,2.4987171383110707,-7.788588883210841,2.4473367851405154e-14,-24.36735858581546,-14.555602465660563,700,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-6.045229982794762,3.2856696425894567,-1.8398776019461527,0.06647527775297617,-12.503201152065934,0.4127411864764108,430,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-14.256487284662034,1.8489274995018963,-7.710679455253249,2.952115045343566e-14,-17.884602743298842,-10.628371826025226,1025,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-7.1784318597253405,3.6860159906460828,-1.9474771346466972,0.052495175180137923,-14.434825671300777,0.0779619518500958,275,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-9.10699756902837,3.06058857903564,-2.975570657032868,0.003125958424828101,-15.126278578128208,-3.0877165599285332,353,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-3.913951713958881,3.748509052078047,-1.0441355908662187,0.2972034663883257,-11.288527046512813,3.460623618595052,323,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,1.8956699242034172,4.464271021160316,0.4246314605941443,0.671460622474368,-6.895539964014885,10.68687981242172,257,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-0.0543313293799505,2.3768836102702684,-0.022858220379487846,0.9817703074380653,-4.7215355277140345,4.612872868954134,657,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-7.848145409591349,2.5881468842729407,-3.032341578942511,0.0025131694366307407,-12.929302675545346,-2.7669881436373522,725,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-15.52973687356002,2.8125971279589246,-5.52149354032435,5.7494966235621354e-8,-21.057496653762833,-10.00197709335721,441,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-0.6106946392713953,1.630556138264667,-0.3745315018232566,0.7080833452123494,-3.81015522182927,2.588765943286479,1067,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-2.6156028261501887,3.621108986750033,-0.7223209342002457,0.47062802578230156,-9.739960755548081,4.508755103247703,318,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-23.52783081136032,3.2695047843258744,-7.196145093334502,3.501858587594272e-12,-29.957087247070163,-17.09857437565048,368,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-8.915757347532518,3.8810046767317052,-2.2972807533539763,0.02223211633201844,-16.550558337920734,-1.2809563571443032,328,outcome_w1
