fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,0.4194245676803805,4.59092658502496,0.09135945868716178,0.9272716067336528,-8.617272334087504,9.456121469448265,283,outcome_w2
1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,6.6030445062703045,3.0540673958984197,2.162049375576362,0.03095742247871587,0.6066641640548083,12.5994248484858,690,outcome_w2
1,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-1.9075830439041852,2.855884318047302,-0.667948289028908,0.5043765690158537,-7.514258584375278,3.699092496566908,734,outcome_w2
1,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-0.8349056603773567,3.759086722814206,-0.22210332507367964,0.8243313832383115,-8.221890260423788,6.552078939669074,463,outcome_w2
1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-1.9964400675539216,2.266459716772758,-0.8808628067727933,0.3785934650055479,-6.443741034875328,2.450860899767485,1051,outcome_w2
1,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,0.7169173428326425,4.016043034575033,0.17851336169969723,0.8584240038780747,-7.181932495703302,8.615767181368588,347,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-5.710680702908673,4.063895988938286,-1.4052231450934887,0.16077191870614138,-13.701220269441425,2.2798588636240806,380,outcome_w2
1,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-0.3239035442628283,4.115834682369529,-0.07869692766094133,0.9373186620828469,-8.418783155119652,7.770976066593995,350,outcome_w2
2,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-0.5664834906768114,4.019683913491602,-0.14092737211885625,0.8880251577733631,-8.477936519734532,7.34496953838091,290,outcome_w2
2,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,6.202756648864436,3.2129381465250306,1.9305558856067797,0.053962833734530175,-0.10596853247156002,12.511481830200431,665,outcome_w2
2,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-21.039407412013393,2.744786521961011,-7.665225416868414,5.823465313123995e-14,-26.428199374729584,-15.650615449297202,716,outcome_w2
2,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,2.3006420609758544,3.6010030147105776,0.6388892349096695,0.523222951328471,-4.776399068707257,9.377683190658967,446,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-6.3403582331089705,2.241334816745721,-2.828831366798994,0.004761517487167332,-10.738407234799446,-1.9423092314184958,1041,outcome_w2
2,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,0.41673794504437217,4.224303657520864,0.09865245939467926,0.9214821368093471,-7.897323415512678,8.730799305601423,291,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-2.867419617419615,3.851004184292179,-0.744590106942886,0.45699348019847985,-10.440086942342038,4.705247707502809,369,outcome_w2
2,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-3.5497282234759786,4.248076245861228,-0.8356084067310166,0.40396378574681946,-11.905636683702905,4.806180236750947,339,outcome_w2
3,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-1.0158150851581493,4.929845586707857,-0.206054138469783,0.8369022011576024,-10.721160778594722,8.689530608278424,273,outcome_w2
3,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-2.893664284334552,3.144142907547087,-0.9203348478177328,0.3577275672252449,-9.067173617530443,3.2798450488613384,673,outcome_w2
3,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-2.9252186335223587,3.1150333643678585,-0.9390649445310133,0.34800339384486634,-9.040560480470091,3.1901232134253745,741,outcome_w2
3,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-3.5786001147446993,3.519953408953212,-1.016661216492899,0.3098525469554917,-10.495901645181132,3.3387014156917325,457,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,0.6576403471217044,2.0694368459306314,0.31778710638833807,0.7507076931439468,-3.4029193478070567,4.718200042050466,1083,outcome_w2
3,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-2.3861138861138893,3.912293820606307,-0.6099015042137356,0.5423417637116039,-10.081955617206459,5.309727844978681,334,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-26.405849695328325,3.7780833518239283,-6.989218404242059,1.2296021833756346e-11,-33.83416968798231,-18.977529702674342,384,outcome_w2
3,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-3.409735492306146,4.017875099137928,-0.8486414854054911,0.3966709568096014,-11.312429884648475,4.492958900036184,344,outcome_w2
