fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),mostly false,control,0.010210311326064344,0.017195345514246698,0.5937834350350734,0.5527149078228776,-0.023509553559184666,0.04393017621131335,2318,Responded Wave 1
1,panel_1_lucid,Panel 1 (Lucid),mostly false,factcheck,0.02737167347428921,0.016500003677022264,1.6588889317889501,0.09727346089360489,-0.00498463446580609,0.05972798141438451,2318,Responded Wave 1
1,panel_1_lucid,Panel 1 (Lucid),mostly false,control,-0.012137073939727617,0.019534924631051637,-0.6213012933991665,0.5344624945437066,-0.05044482521793399,0.026170677338478752,2318,Responded Wave 2
1,panel_1_lucid,Panel 1 (Lucid),mostly false,factcheck,0.01431304678029494,0.019852607985236047,0.7209655673924172,0.4710034038509985,-0.02461767771880517,0.053243771279395044,2318,Responded Wave 2
1,panel_1_mturk,Panel 1 (MTurk),mostly false,control,-0.004574314574314587,0.0086256228543218,-0.5303170161239616,0.5959485689894557,-0.02149003496095562,0.012341405812326444,2087,Responded Wave 1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,factcheck,-0.002973970075835184,0.008485180888363609,-0.3504898852437691,0.7260064508537604,-0.019614269537306897,0.013666329385636528,2087,Responded Wave 1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,control,0.004920634920634486,0.026806677426252562,0.18356004522274605,0.8543764410956018,-0.04764997563071494,0.057491245471983914,2087,Responded Wave 2
1,panel_1_mturk,Panel 1 (MTurk),mostly false,factcheck,0.01644394343103056,0.02676927753207502,0.6142841700276515,0.5390945180017681,-0.036053322138387474,0.06894120900044859,2087,Responded Wave 2
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.026055312954876994,0.007569596723762215,3.442100537943463,5.887619685090962e-4,0.011210436926469412,0.040900188983284576,2056,Responded Wave 1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.008406647116324504,0.009080601352545887,0.9257808805765457,0.35466851607338135,-0.00940148801441148,0.02621478224706049,2056,Responded Wave 1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.04597177393835777,0.026801100245145867,1.7152942796325696,0.08644195990166872,-0.0065883590625416474,0.09853190693925717,2056,Responded Wave 2
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,-0.026069956224233637,0.026997189507951627,-0.9656544514218828,0.33433068683094114,-0.07901464350233985,0.026874731053872572,2056,Responded Wave 2
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,control,-0.01935075935624607,0.01758261262989912,-1.1005622294914368,0.27119820364237907,-0.053829529698848674,0.015128010986356535,2387,Responded Wave 1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,factcheck,-0.01824941421820492,0.017029957793751795,-1.0716065441395597,0.28400512551118734,-0.0516444514674759,0.01514562303106606,2387,Responded Wave 1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,control,-0.0221918475935969,0.02409925232307774,-0.9208521200612401,0.3572206932246673,-0.06944947669377216,0.025065781506578358,2387,Responded Wave 2
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,factcheck,-7.805371914607605e-4,0.02360788011863779,-0.03306257010533306,0.9736274554073112,-0.047074605884190435,0.04551353150126891,2387,Responded Wave 2
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,-0.005930388107386528,0.0075870139643351864,-0.7816498210315577,0.43449214919098045,-0.02080764429872757,0.008946868083954517,2579,Responded Wave 1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-0.005081977209596213,0.007371017539500862,-0.6894539569824909,0.4905996648104266,-0.019535689413305284,0.009371734994112858,2579,Responded Wave 1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,0.020371658134839214,0.023656648694434852,0.8611388027938031,0.3892416527993764,-0.02601629171078892,0.06675960798046734,2579,Responded Wave 2
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-0.0026116977592332852,0.02335431871816814,-0.1118293276181743,0.910967435816046,-0.04840681351593193,0.04318341799746536,2579,Responded Wave 2
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,control,0.03580854076426222,0.024308739254821295,1.473072724541241,0.14085345851085773,-0.011858083191157713,0.08347516471968217,2579,Responded Wave 3
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,factcheck,-5.682680668374407e-4,0.023854395536432416,-0.023822362883584053,0.9809961450672913,-0.0473439765805339,0.04620744044685902,2579,Responded Wave 3
1,panel_5_lucid,Panel 5 (Lucid),false,control,0.011404094348018997,0.017967277684468323,0.6347146489463554,0.525680626697251,-0.02383053398724197,0.04663872268327997,2197,Responded Wave 1
1,panel_5_lucid,Panel 5 (Lucid),false,factcheck,-0.00558561036738187,0.01825241521919385,-0.3060203430781128,0.759618151329317,-0.04137940605325219,0.030208185318488446,2197,Responded Wave 1
1,panel_5_lucid,Panel 5 (Lucid),false,control,-0.015520694259012386,0.02333426167165044,-0.6651461476438737,0.5060268363804166,-0.06128021620312141,0.03023882768509664,2197,Responded Wave 2
1,panel_5_lucid,Panel 5 (Lucid),false,factcheck,0.026109481019621964,0.023644003829245922,1.10427494464057,0.2695948144055867,-0.020257459031687176,0.07247642107093111,2197,Responded Wave 2
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,-0.01911611039400102,0.030428481132785165,-0.6282308443389364,0.5299426125969762,-0.07880009970721528,0.040567878919213235,1596,Responded Wave 1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.009756749532210746,0.031060476620056874,0.3141210500907272,0.7534701558586081,-0.05116686826405924,0.07068036732848074,1596,Responded Wave 1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,0.032485094351220455,0.028456582082254246,1.1415669758694746,0.25380530417654423,-0.023331110653436293,0.0883012993558772,1596,Responded Wave 2
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.04450681635926189,0.028872806132792164,1.5414787241172747,0.1233985537590006,-0.01212579192480278,0.10113942464332656,1596,Responded Wave 2
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,control,0.02028397565922931,0.030338081374512164,0.6685978394227139,0.5038487381421493,-0.03922269891444412,0.07979065023290273,1596,Responded Wave 3
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,factcheck,0.023589949211440458,0.03095774532449933,0.7620047572641491,0.44616975465521813,-0.03713216613324699,0.0843120645561279,1596,Responded Wave 3
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,0.003984842928737274,0.015681893135369496,0.25410471135973495,0.7994365681725314,-0.026766708809016444,0.03473639466649099,2385,Responded Wave 1
