fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentcontrol,13.587954538480316,2.830728664874079,-4.800161423837759,1.8599181327430043e-6,8.03224738879495,19.143661688165682,887,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-6.6421005822933505,2.8942987455734404,-2.294891151942011,0.02197208121752858,-12.322573046376391,-0.961628118210311,887,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentcontrol,4.557090844575959,2.7064208790954556,-1.6838071564460577,0.09259449889659341,-0.7551337496154513,9.86931543876737,831,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,-1.628327252940597,2.6532239130892443,-0.6137164846538251,0.5395706475213338,-6.836135629633342,3.5794811237521484,831,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentcontrol,7.230965232094613,2.627664544112372,-2.751860106457098,0.006049175589027849,2.0736543052027194,12.388276158986507,869,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-7.617721506433152,2.6187259225683466,-2.908941879248662,0.0037189857543411652,-12.757488622162526,-2.4779543907037764,869,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentcontrol,2.8482084108949173,1.9995491367421014,-1.4244253159667537,0.15462165351618495,-1.075375914077005,6.771792735866839,1046,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,-0.984915311234607,1.9428752410382715,-0.5069369820721318,0.6123058834729437,-4.797292162115173,2.827461539645959,1046,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentcontrol,0.020822818384011302,2.410982520155418,-0.008636652572109486,0.9931108283016867,-4.710581296493142,4.752226933261165,960,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-8.511731361751382,2.3991225455008762,-3.5478518501331275,4.071824826391086e-4,-13.219861009719825,-3.80360171378294,960,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentcontrol,2.0308916503003767,2.5564318985593615,-0.794424311261667,0.42715975858507604,-2.986430700272664,7.0482140008734175,892,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-5.350196123780133,2.4118067828114906,-2.21833530028608,0.026783110783128568,-10.083673312624077,-0.6167189349361895,892,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentcontrol,0.0677824012150074,2.969648838864902,-0.022825056056431266,0.9817949899200216,-5.760629561842882,5.896194364272897,881,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-7.995005014934025,2.7763474912415926,-2.8796845640379942,0.004077177859781559,-13.444032091732584,-2.545977938135464,881,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentcontrol,-3.726037539396951,3.018621258612061,1.234350791364318,0.2174149726844833,-9.650902931490265,2.198827852696363,846,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-10.912180609736799,2.757924200160942,-3.956664439544787,8.2376355673123e-5,-16.325357105771733,-5.499004113701865,846,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentcontrol,10.687623279984681,2.0895639756851887,-5.114762411847239,3.5931856634322797e-7,6.588483486188577,14.786763073780786,1352,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-23.47722509081788,2.00313958184902,-11.72021425943117,2.7708684639693984e-30,-27.406824408203168,-19.54762577343259,1352,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentcontrol,8.411852393265587,2.5828281604642678,-3.256837803624358,0.001167857941291243,3.342926367043569,13.480778419487605,919,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-16.11100357703565,2.6116246240747905,-6.168958367339345,1.029087084050744e-9,-21.236444065231126,-10.985563088840173,919,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentcontrol,17.810337412446525,2.784094360121124,-6.397174487890444,2.691345487880446e-10,12.345344661163011,23.27533016373004,800,outcome_w1
