fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,5.002590154713965,6.723187198331801,0.7440801523353743,0.4582244402245036,-8.303431721673835,18.308612031101767,125,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,-1.2377741650973826,6.742858132239317,-0.18356817551584986,0.8547434653985251,-14.624040038620693,12.148491708425928,95,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,2.2376539254948034,3.468006988009273,0.6452276287883939,0.5192728248210894,-4.587047469283133,9.06235532027274,300,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,-2.7899194903884044,2.8574222233707305,-0.9763763533333562,0.3295867477473531,-8.410793163686247,2.8309541829094385,333,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-6.992727000767016,3.0547955069711077,-2.2890982341729473,0.02268265090948186,-13.00127957033139,-0.9841744312026428,342,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-5.5836309469107075,3.5232282483001383,-1.5848053414094467,0.11400761313039083,-12.515496763116053,1.3482348692946378,317,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-6.313095553848126,4.609300153342555,-1.3696429704778543,0.17230412337762518,-15.401072394131234,2.7748812864349803,204,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-7.601457195536009,4.95359285666554,-1.5345341079672121,0.12688575376726524,-17.38478432704245,2.1818699359704326,159,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-10.05392003107024,2.5159037758759335,-3.996146485200882,7.277098325356481e-5,-14.995420327321838,-5.1124197348186415,574,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-5.03309927784626,2.9847792430301663,-1.6862551190675752,0.09260118636999422,-10.90262168285025,0.8364231271577296,365,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,8.232332787498581,5.167457985381231,1.5931107346761018,0.11334336377103042,-1.9821410953344927,18.446806670331654,143,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,3.5628236545461562,5.63626746729525,0.6321246596652191,0.5283363667480303,-7.580379906652167,14.706027215744479,140,outcome_w1
