term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,dv,fc,topic_short_2
treatmentcontrol,0.9203167622269306,1.4762279563276555,-0.6234245587086431,0.5330772607931988,-1.9748039429355062,3.8154374673893674,1983,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate
treatmentfactcheck,-2.1480554968400436,1.5099270711421418,-1.422622017906605,0.15500304092221054,-5.109265591941801,0.8131545982617143,1983,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate
treatmentcontrol,-1.2685271561861895,1.2613612120980404,1.0056811197454136,0.3146666665518283,-3.7419515181895844,1.2048972058172054,2491,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks
treatmentfactcheck,0.18054266377422365,1.238995064215426,0.1457170161436837,0.8841565776765303,-2.249023543620934,2.610108871169381,2491,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks
treatmentcontrol,-1.8594998905653342,1.2459289423983668,1.4924606269968062,0.1357071319276226,-4.302682238919753,0.5836824577890847,2451,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks
treatmentfactcheck,0.9748097092342369,1.2109558486293788,0.8049919494072191,0.4209024050287278,-1.3997927687471121,3.349412187215586,2451,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks
treatmentcontrol,-0.019153846017529605,1.6618242813173019,0.011525795015070218,0.9908052136267194,-3.278438292921627,3.240130600886568,1819,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists
treatmentfactcheck,0.34291211666966676,1.6527154610190722,0.2074840616897391,0.8356550639091023,-2.898507483354151,3.5843317166934847,1819,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists
treatmentcontrol,-4.873311482542809,1.5242190771499546,3.1972513371602203,0.001409865987216076,-7.862597725703126,-1.8840252393824928,1933,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid)
treatmentfactcheck,-0.13294516838360773,1.5108449372766988,-0.08799391989441463,0.9298906232914321,-3.0960021555684776,2.830111818801262,1933,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid)
