fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),outcome_w1,0.10269934843312332,1.066343664942804,0.09630980312395991,0.9233426912002505,-1.996272245806835,2.2016709426730814,283,outcome_w2
1,panel_1_mturk,Panel 1 (MTurk),outcome_w1,2.143640819293495,1.5225245986497922,1.4079515176270532,0.15959579409378905,-0.8456961501997644,5.132977788786754,690,outcome_w2
1,panel_2_mturk,Panel 2 (MTurk),outcome_w1,0.5432578605984586,0.5622768437977298,0.9661750552080125,0.3342748164330468,-0.5606047178583351,1.6471204390552523,734,outcome_w2
1,panel_3_lucid,Panel 3 (Lucid),outcome_w1,0.13650954295626383,0.5929754843025252,0.23021110749094503,0.8180294079750243,-1.0287470988135103,1.3017661847260378,463,outcome_w2
1,panel_4_mturk,Panel 4 (MTurk),outcome_w1,0.24977696771809094,0.24295280419428525,1.0280884328396083,0.30414477556295333,-0.22695078222189424,0.7265047176580761,1051,outcome_w2
1,panel_5_lucid,Panel 5 (Lucid),outcome_w1,0.31384057814074184,1.5915808816309918,0.1971879542930485,0.8437959063486591,-2.8165189029842295,3.444200059265713,347,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),outcome_w1,0.5014141564887501,0.2725586384667787,1.8396560802818431,0.06659859488928635,-0.034497833089033425,1.0373261460665337,380,outcome_w2
1,panel_7_lucid,Panel 7 (Lucid),outcome_w1,0.07496862884649068,0.9065812055584078,0.08269378229643953,0.9341423008732956,-1.7080635584997241,1.8580008161927053,350,outcome_w2
2,panel_1_lucid,Panel 1 (Lucid),outcome_w1,0.515592604467262,3.0760847103284146,0.1676132658948184,0.8670043578984037,-5.538689329861932,6.569874538796456,290,outcome_w2
2,panel_1_mturk,Panel 1 (MTurk),outcome_w1,1.1576228127286348,0.3478878628740439,3.3275745901712104,9.243220840222992e-4,0.4745318782926997,1.8407137471645698,665,outcome_w2
2,panel_2_mturk,Panel 2 (MTurk),outcome_w1,1.107342215211339,0.12467415807900485,8.881890459686334,5.247979584329575e-18,0.8625715943855885,1.3521128360370895,716,outcome_w2
2,panel_3_lucid,Panel 3 (Lucid),outcome_w1,-0.3131224040349589,0.5678529010899318,-0.5514146417742245,0.5816256105080171,-1.4291221186162362,0.8028773105463183,446,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),outcome_w1,0.4361051931626332,0.1252768959818919,3.481130257455212,5.200128472858145e-4,0.19028117651347365,0.6819292098117927,1041,outcome_w2
2,panel_5_lucid,Panel 5 (Lucid),outcome_w1,-0.0568363262538505,0.5942867357154671,-0.09563788460704031,0.9238740013961019,-1.2264815002476284,1.1128088477399274,291,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),outcome_w1,0.2979593994502008,0.3222853662776261,0.9245204114962197,0.35581961506700877,-0.33578695493341915,0.9317057538338207,369,outcome_w2
2,panel_7_lucid,Panel 7 (Lucid),outcome_w1,0.8863457730780524,0.871948427331851,1.0165116941494545,0.310110704829316,-0.8287649780348141,2.601456524190919,339,outcome_w2
3,panel_1_lucid,Panel 1 (Lucid),outcome_w1,-0.3373559584035678,2.059545285693298,-0.16380118502225835,0.8700088590258602,-4.391965502936868,3.7172535861297327,273,outcome_w2
3,panel_1_mturk,Panel 1 (MTurk),outcome_w1,1.057144048550991,0.7669437455465312,1.3783853831387078,0.1685423681851544,-0.448746272083812,2.563034369185794,673,outcome_w2
3,panel_2_mturk,Panel 2 (MTurk),outcome_w1,0.42485952763368307,0.3466953978422145,1.2254547659932944,0.220793277628264,-0.25576267655222185,1.105481731819588,741,outcome_w2
3,panel_3_lucid,Panel 3 (Lucid),outcome_w1,0.21921423776705434,0.19639033724066193,1.1162170239487057,0.2649158005464896,-0.16672586499179304,0.6051543405259017,457,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),outcome_w1,-0.6768483742140137,3.3012862169410506,-0.20502565658823027,0.8375906065220987,-7.154489757808101,5.800793009380072,1083,outcome_w2
3,panel_5_lucid,Panel 5 (Lucid),outcome_w1,0.9836301863481871,1.6973207702260775,0.5795193245747949,0.5626294827882337,-2.355155859259119,4.3224162319554935,334,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),outcome_w1,0.9849340951896085,0.09706643569928528,10.147010015294718,1.365760381498461e-21,0.7940858587226789,1.1757823316565381,384,outcome_w2
3,panel_7_lucid,Panel 7 (Lucid),outcome_w1,0.29442125434934974,0.30970639368087405,0.9506463552467879,0.3424513477608545,-0.31473530732165544,0.9035778160203549,344,outcome_w2
