congeniality,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,wave,issues,lucid_pid_3
False claim congenial to Democrats,overall,summary,-9.146767202008629,2.6839866520066753,-3.407903386989676,6.546406855812452e-4,-14.40728437492795,-3.8862500290893083,1,All Issues,All Subjects
False claim congenial to Republicans,overall,summary,-4.2726352091904545,1.388906415470489,-3.0762585308838886,0.0020961600852336813,-6.994841761409237,-1.5504286569716719,1,All Issues,All Subjects
False claim congenial to Democrats,overall,summary,-5.23729498054482,2.9540078950813826,-1.7729454918740266,0.07623773948919757,-11.027044064951301,0.5524541038616624,2,All Issues,All Subjects
False claim congenial to Republicans,overall,summary,-1.3813674534089468,0.8529277363300782,-1.619559775781949,0.10532687614464975,-3.053075098031175,0.29034019121328125,2,All Issues,All Subjects
False claim congenial to Democrats,overall,summary,-16.14424693743949,8.446172213718702,-1.9114276300472757,0.055949648789176784,-32.69844028355108,0.4099464086721021,1,Issues across three waves,All Subjects
False claim congenial to Republicans,overall,summary,-8.561392212674031,3.1895526178579754,-2.6841984561532803,0.007270393532102816,-14.812800470471107,-2.309983954876955,1,Issues across three waves,All Subjects
False claim congenial to Democrats,overall,summary,-12.51513393027584,12.223702542821774,-1.023841498632115,0.30591014578758563,-36.47315067193719,11.442882811385505,2,Issues across three waves,All Subjects
False claim congenial to Republicans,overall,summary,-2.463689609022258,1.5216304734326105,-1.6191116384942517,0.10542324511119147,-5.446030534728806,0.5186513166842892,2,Issues across three waves,All Subjects
False claim congenial to Democrats,overall,summary,-12.871909911638483,9.727847672889286,-1.3232022482744503,0.18576812854668068,-31.938140997593255,6.19432117431629,3,Issues across three waves,All Subjects
False claim congenial to Republicans,overall,summary,-1.1466866559068138,1.4940175879255435,-0.7675188466147833,0.44277309215220567,-4.074907320510282,1.781534008696654,3,Issues across three waves,All Subjects
False claim congenial to Democrats,overall,summary,-12.2087361986655,3.274824260762792,-3.728058432003239,1.929606444562213e-4,-18.62727380545858,-5.790198591872423,1,All Issues,Democrat
False claim congenial to Republicans,overall,summary,-5.3885082705311005,1.9597070049696397,-2.7496499511745025,0.0059658959169576545,-9.22946342052245,-1.5475531205397512,1,All Issues,Democrat
False claim congenial to Democrats,overall,summary,-5.634196326470682,1.9843581024386294,-2.8393042160821027,0.0045212030327918115,-9.523466739680638,-1.7449259132607264,1,All Issues,Republican
False claim congenial to Republicans,overall,summary,-3.429569552872119,1.4398856787220338,-2.3818346161453756,0.017226632121520386,-6.251693625022316,-0.6074454807219225,1,All Issues,Republican
False claim congenial to Democrats,overall,summary,-6.038714590345454,3.6185253359039597,-1.668833027208001,0.09515047534631711,-13.130893925862914,1.0534647451720058,2,All Issues,Democrat
False claim congenial to Republicans,overall,summary,-2.189484945560594,1.2780761682313022,-1.7131099068927698,0.08669232178882146,-4.6944682047929005,0.31549831367171244,2,All Issues,Democrat
False claim congenial to Democrats,overall,summary,-3.5540812571894125,2.6243884465881764,-1.3542512206262296,0.1756562427648132,-8.697788093945256,1.5896255795664307,2,All Issues,Republican
False claim congenial to Republicans,overall,summary,-0.9429572990192164,1.1825851728534196,-0.7973694585938252,0.4252364914550024,-3.260781646462992,1.3748670484245595,2,All Issues,Republican
False claim congenial to Democrats,overall,summary,-19.527486329552538,9.268266492824702,-2.1069189523920473,0.035124605492552384,-37.6929548546083,-1.3620178044967695,1,Issues across three waves,Democrat
False claim congenial to Republicans,overall,summary,-11.384684587990339,4.4383083805848615,-2.565095439918511,0.010314742867435481,-20.083609166218956,-2.6857600097617222,1,Issues across three waves,Democrat
False claim congenial to Democrats,overall,summary,-9.007786873344026,8.30324163527626,-1.0848518288417033,0.2779872860356765,-25.281841433418954,7.266267686730901,1,Issues across three waves,Republican
False claim congenial to Republicans,overall,summary,-8.527187593277436,3.0674067599916808,-2.7799337552808168,0.005436998842930643,-14.539194368795826,-2.5151808177590462,1,Issues across three waves,Republican
False claim congenial to Democrats,overall,summary,-16.35599410422899,14.387311173690135,-1.1368346667957636,0.25560740821118544,-44.554605839032334,11.842617630574356,2,Issues across three waves,Democrat
False claim congenial to Republicans,overall,summary,-4.488511695383057,2.3114570744909333,-1.9418537964290727,0.05215480213499374,-9.018884313195603,0.041860922429488134,2,Issues across three waves,Democrat
False claim congenial to Democrats,overall,summary,-5.725431253269,9.860241884044804,-0.5806582962770434,0.5614707739635723,-25.05115022485018,13.600287718312178,2,Issues across three waves,Republican
False claim congenial to Republicans,overall,summary,-2.8024994804923917,2.267874938229224,-1.235738105858962,0.2165559282835372,-7.247452680862669,1.642453719877886,2,Issues across three waves,Republican
False claim congenial to Democrats,overall,summary,-18.243187458416553,12.921359071787538,-1.4118628974755978,0.15799033423063408,-43.56858587043003,7.082210953596917,3,Issues across three waves,Democrat
False claim congenial to Republicans,overall,summary,-2.527599759319515,1.725604864134453,-1.4647616101773886,0.14298596917268638,-5.909723144570175,0.8545236259311446,3,Issues across three waves,Democrat
False claim congenial to Democrats,overall,summary,-4.186723139208289,5.663408331772428,-0.7392585690352309,0.45975000214618056,-15.286799499226312,6.913353220809735,3,Issues across three waves,Republican
False claim congenial to Republicans,overall,summary,-1.4428692714721225,2.2503576390892017,-0.641173316813812,0.5214100838517064,-5.853489196421542,2.9677506534772964,3,Issues across three waves,Republican
