topic_short,panel_factor,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),no,"12.97 (2.01)* [9.03, 16.91]","-10.88 (2.10)* [-14.99, -6.77]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),yes,"12.44 (1.84)* [8.83, 16.06]","-11.27 (1.94)* [-15.07, -7.48]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),no,"4.63 (1.89)* [0.92, 8.34]","-14.40 (2.01)* [-18.35, -10.46]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),yes,"3.08 (1.80) [-0.46, 6.61]","-12.39 (1.88)* [-16.09, -8.70]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),no,"7.91 (2.03)* [3.93, 11.88]","-12.74 (2.07)* [-16.79, -8.68]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),yes,"8.06 (1.83)* [4.48, 11.65]","-12.02 (1.92)* [-15.80, -8.25]"
Presidential winner must be announced election night,Panel 6 (MTurk),no,"-2.80 (3.40) [-9.47, 3.87]","-7.02 (3.41)* [-13.70, -0.33]"
Presidential winner must be announced election night,Panel 6 (MTurk),yes,"-1.84 (2.77) [-7.27, 3.59]","-4.71 (2.71) [-10.03, 0.62]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),no,"-8.94 (2.96)* [-14.75, -3.13]","0.44 (3.20) [-5.84, 6.73]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),yes,"-5.93 (2.44)* [-10.72, -1.14]","-3.37 (2.60) [-8.46, 1.73]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),no,"-4.30 (3.05) [-10.28, 1.68]","-21.81 (3.19)* [-28.08, -15.54]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),yes,"-2.23 (2.75) [-7.62, 3.17]","-20.27 (2.93)* [-26.02, -14.52]"
