topic_short,panel_factor,wave,covariates,estimate,std.error,p.value,conf.low,conf.high
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w1,no,-4.004902298059719,4.070517858061096,0.32587604385389524,-12.011555813475129,4.001751217355691
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w2,no,-3.5497282234759786,4.248076245861228,0.40396378574681946,-11.905636683702904,4.806180236750947
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),ratio,no,0.8863457730780524,0.871948427331851,0.310110704829316,-0.8287649780348141,2.601456524190919
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w1,no,-11.581145864762474,3.91565994164277,0.00331436481024953,-19.28279489555967,-3.879496833965278
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w2,no,-3.409735492306146,4.017875099137928,0.3966709568096014,-11.312429884648475,4.492958900036184
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),ratio,no,0.29442125434934974,0.30970639368087405,0.3424513477608545,-0.31473530732165544,0.9035778160203548
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w1,no,-4.320521119922321,4.077997831156491,0.290115854081974,-12.340984535994782,3.69994229615014
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w2,no,-0.3239035442628283,4.115834682369529,0.9373186620828468,-8.418783155119652,7.770976066593995
Wisconsin has more votes than registered voters,Panel 7 (Lucid),ratio,no,0.07496862884649068,0.9065812055584078,0.9341423008732956,-1.708063558499724,1.8580008161927053
Presidential winner must be announced election night,Panel 6 (MTurk),w1,no,-11.389149326973158,4.05936434397896,0.00527981458269964,-19.370778653566816,-3.4075200003795008
Presidential winner must be announced election night,Panel 6 (MTurk),w2,no,-5.710680702908673,4.063895988938286,0.16077191870614138,-13.701220269441423,2.2798588636240806
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,no,0.5014141564887501,0.2725586384667787,0.06659859488928635,-0.03449783308903342,1.0373261460665335
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,no,-9.623524623524622,3.7810725227824262,0.01132832110461644,-17.058677372313245,-2.188371874736
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w2,no,-2.867419617419615,3.851004184292179,0.45699348019847985,-10.440086942342038,4.705247707502809
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,no,0.2979593994502008,0.3222853662776261,0.35581961506700877,-0.33578695493341915,0.9317057538338208
