topic_short,panel_factor,wave,covariates,estimate,std.error,p.value,conf.low,conf.high
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w1,yes,-3.913951713958881,3.748509052078047,0.2972034663883257,-11.288527046512812,3.460623618595052
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w2,yes,-4.846246404654524,3.796310572416789,0.2026720513759394,-12.3148633702554,2.622370560946351
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),ratio,yes,1.238197800798231,1.0602741494984993,0.243745076074933,-0.8477172870422545,3.324112888638717
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w1,yes,-8.915757347532518,3.8810046767317057,0.02223211633201844,-16.550558337920734,-1.2809563571443032
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w2,yes,0.7125593880731637,3.8154320029428583,0.8519664671054018,-6.79324554163339,8.218364317779718
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),ratio,yes,-0.07992135275758065,0.4436786325024457,0.8571590583962975,-0.9527360863116708,0.7928933807965096
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w1,yes,-3.485730379135178,3.815122719182357,0.36155385514900906,-10.990427617588702,4.018966859318347
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w2,yes,1.3011850509993066,3.698837339026353,0.7252234586595667,-5.974768150744355,8.577138252742968
Wisconsin has more votes than registered voters,Panel 7 (Lucid),ratio,yes,-0.37328906985688903,1.3410062355246473,0.7809045097249447,-3.011171657981767,2.264593518267989
Presidential winner must be announced election night,Panel 6 (MTurk),w1,yes,-8.504106108987582,3.46208887653929,0.01450188180124381,-15.312312778113798,-1.6958994398613658
Presidential winner must be announced election night,Panel 6 (MTurk),w2,yes,-4.587594613123179,3.2342159428881376,0.15691312522303605,-10.947688572864555,1.7724993466181989
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,yes,0.539456417209423,0.33454868194986875,0.10772198040532824,-0.11843442523343516,1.1973472596522812
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,yes,-9.10699756902837,3.06058857903564,0.0031259584248281,-15.126278578128208,-3.0877165599285332
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w2,yes,-1.6830219619184728,2.954096723682308,0.5692267929985863,-7.492864692726724,4.126820768889778
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,yes,0.1848053597425133,0.29288698676230157,0.5284629707400545,-0.3912175298764145,0.7608282493614411
Trump said 'Good' to children's separation,Panel 6 (MTurk),w1,yes,-23.52783081136032,3.2695047843258744,3.501858587594272e-12,-29.957087247070163,-17.09857437565048
Trump said 'Good' to children's separation,Panel 6 (MTurk),w2,yes,-22.792647096405197,3.423780159611292,1.0164745687327675e-10,-29.52527545381413,-16.060018738996263
Trump said 'Good' to children's separation,Panel 6 (MTurk),ratio,yes,0.9687525925849426,0.11215813611554692,1.7735770396177556e-16,0.7482013268718448,1.1893038582980404
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w1,yes,-7.1784318597253405,3.686015990646083,0.05249517518013792,-14.434825671300777,0.0779619518500958
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w2,yes,-1.6784377092322236,3.946585844949515,0.6709589549747046,-9.44779659829207,6.090921179827623
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),ratio,yes,0.23381676416671196,0.5032198655636693,0.6425559626398227,-0.7568358883460595,1.2244694166794834
Joe Biden has never made more than $400k,Panel 5 (Lucid),w1,yes,-2.6156028261501887,3.621108986750033,0.4706280257823016,-9.73996075554808,4.508755103247703
Joe Biden has never made more than $400k,Panel 5 (Lucid),w2,yes,-2.3346076999890517,3.799264467342681,0.5393313813242349,-9.80947797670104,5.140262576722936
Joe Biden has never made more than $400k,Panel 5 (Lucid),ratio,yes,0.8925696503491491,1.5657747991566706,0.5690464155543022,-2.1880170281631215,3.97315632886142
