object,rows_deposited,rows_rewrite,rows_matched,max_abs_difference_estimate,max_abs_difference_std_error,max_abs_difference_p_value,max_abs_difference_interval,cells_missing_on_one_side,max_abs_difference_estimate_archive_spec
ft_targets_ates_w1_PID_adj,138,132,132,28.702508769081827,12.400561377781573,0.883793763330053,58.36569832809467,0,2.4730217873525362e-14
ates_w1_p3_adj,6,6,6,12.873239571737317,0.2531302547841565,0.643655588368138,13.123506443253634,0,6.217248937900877e-15
persistence_meta,30,30,30,7.414705556767217,2.495854869932481,0.4355026986201033,10.737893149960824,0,NA
ates_w3_p3_adj,6,6,6,7.061023333495206,0.10738248148003748,0.7014624396389285,7.086385792809564,0,1.0658141036401503e-14
ft_targets_ates_w1_all_adj,46,44,44,4.634092592790898,2.081877213735034,0.8877664611392377,8.828160048036972,0,3.680389326632394e-14
ft_targets_meta_w1_PID_adj,6,6,6,2.956930765640682,0.8358813981997105,0.7225035478889581,4.595228201459097,0,NA
meta_trait_cates_w2_p2_adj,18,18,18,2.097786411506662,0.38794530542588457,0.34036364000140756,2.8581452381127876,0,NA
iv_p3_adj,6,6,6,1.4617805253313199,0.8593347765975416,0.7673421332572278,3.1484417768491935,0,1.0652589921278377e-13
ft_targets_meta_w1_all_adj,2,2,2,0.6069451979441096,0.26764878623914523,0.009606970678537555,1.1315271794786939,0,NA
meta_trait_cates_w1_all_adj,36,36,36,0.4848515039802077,0.09711140965898801,2.174423615461964e-4,0.5907922958319602,0,NA
meta_trait_dic_w1_all_adj,18,18,18,0.2771083940278001,0.05576367910720603,0.10237546128364738,0.3864031967233723,0,NA
iv_p2_adj,24,24,24,1.049738074243578e-11,1.682147967585479e-7,1.9905410653109357e-11,3.303139521904086e-7,0,NA
iv_p2_noadj,24,24,24,5.924150059399835e-13,7.959854997352522e-12,4.186373470105309e-13,1.5687007248743612e-11,0,NA
meta_ft_ates_w1_all_adj,84,84,84,4.0745185003743245e-13,1.9673151996357774e-13,1.1146639167236572e-13,6.092903959142859e-13,0,NA
ates_w1_all_noadj,48,48,48,2.5934809855243657e-13,3.730349362740526e-14,4.6407322429331543e-14,13.33798984959536,0,NA
cates_w1_all_noadj,96,96,96,1.687538997430238e-13,2.886579864025407e-14,1.1185496973098452e-14,19.743838625156574,0,NA
iv_p3_noadj,6,6,6,1.283417816466681e-13,1.2456702336294256e-12,2.3148150063434514e-13,2.5730528818712628e-12,0,NA
ft_ates_w1_all_adj,702,702,702,1.2223555501122974e-13,1.6749268638704962e-11,2.753353101070388e-13,66.00213857070734,0,NA
trait_cates_w2_p2_adj,432,432,432,8.171241461241152e-14,2.1662671656486054e-12,9.869882688917642e-14,4.275690912436403e-12,170,NA
ates_w1_p3_noadj,6,6,6,7.283063041541027e-14,1.509903313490213e-14,5.3290705182007514e-15,8.171241461241152e-14,0,NA
diff_in_cates_w1_all_adj,48,48,48,5.861977570020827e-14,1.0658141036401503e-13,8.992806499463768e-15,2.2026824808563106e-13,0,NA
ates_w2_p2_noadj,24,24,24,5.262457136723242e-14,1.1546319456101628e-14,1.176836406102666e-14,6.128431095930864e-14,0,NA
trait_cates_w1_all_adj,864,864,864,4.440892098500626e-14,5.24469356832924e-13,5.717648576819556e-14,23.256121928074982,30,NA
ates_w3_p3_noadj,6,6,6,4.085620730620576e-14,1.4210854715202004e-14,4.551914400963142e-15,4.618527782440651e-14,0,NA
ates_w1_p2_noadj,24,24,24,3.907985046680551e-14,1.1546319456101628e-14,8.659739592076221e-15,5.684341886080802e-14,0,NA
cates_w1_all_adj,96,96,96,3.907985046680551e-14,1.0835776720341528e-13,6.8833827526759706e-15,16.499525768151635,0,NA
cates_w2_p2_adj,48,48,48,2.842170943040401e-14,1.6897594434794883e-12,8.962275366286576e-14,3.340439036492171e-12,0,NA
cates_w3_p3_adj,12,12,12,2.842170943040401e-14,2.4868995751603507e-14,9.992007221626409e-16,4.973799150320701e-14,0,NA
ates_w1_all_adj,48,48,48,2.4868995751603507e-14,1.84297022087776e-14,6.5503158452884236e-15,10.859888185694015,0,NA
cates_w2_p3_adj,12,12,12,2.1316282072803006e-14,1.2434497875801753e-14,1.6653345369377348e-15,3.197442310920451e-14,0,NA
cates_w1_p2_adj,48,48,48,1.709743457922741e-14,4.445332990599127e-13,1.9539925233402755e-14,8.79296635503124e-13,0,NA
ates_w1_p2_adj,24,24,24,1.4210854715202004e-14,6.039613253960852e-14,1.887379141862766e-15,1.2612133559741778e-13,0,NA
cates_w1_p3_adj,12,12,12,1.4210854715202004e-14,2.4868995751603507e-14,2.220446049250313e-15,5.684341886080802e-14,0,NA
ates_w2_p2_adj,24,24,24,1.1601830607332886e-14,6.261657858885883e-14,6.494804694057166e-15,1.2256862191861728e-13,0,NA
